emotion,sentence
Anticipation,As far as road races are concerned we are having to financially batten down the hatches this year and all events will be self-financing.
Trust,It was a calculated risk.
Anticipation,You may even throw caution to the wind and try one of our Mystery Trips.
Trust,"He has polished shoes, a close shave, and too much pride for a free drink."
Fear,But every day hundreds of ordinary workers dice with death to complete these essential tasks.
Fear,"It seems to be looking straight at me, its knuckled legs poised, tense, waiting I know for one false move from me to trigger it into an electrifying spring... straight at me."
Optimism,Feherty described the back nine as fraught with danger but equally full of opportunity.
Sadness,"The classic case is that of the American bison, reduced from millions to a handful of individuals, and saved from extinction by a hair 's breadth."
Fear,"The first time he tried it, with elastic supports round his wrists, Anne Heaton was terrified and wondered whether she would live to tell the tale, but it worked."
Anticipation,"Proceed with caution and, at the risk of sounding like a tabloid astrologer, look before you leap."
Disapproval,"There are queues, of course, and Nasserein is definitely a no go area."
Love,I'm going to marry you and lock you up out of harm 's way.
Neutral,"The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves."
Contempt,"First you try to kill yourself by running off into a blizzard, and now you risk life and limb because you can't even bring yourself to admit to me that you've never skied in your life before."
Trust,"Ambulances arrived, Ivor and Pauline were in safe hands."
Neutral,"OK, we'll make it half-eight just to be on the safe side."
Neutral,"There is, as James Thurber sagely noted, no safety in numbers or in anything else."
Fear,Nothing less than the future of mankind is at stake.
Ambiguous,Take cover now to beat redundancy nightmare.
Fear,"But watch your step, Kit."
Disapproval,Almost a quarter of road accidents happen in the middle of the afternoon and experts are warning that just one drink at lunchtime can make you fall asleep at the wheel.
Neutral,But no-one will mind if you choose to opt for another forty winks on your sunlounger.
Fear,Jo began frantically to try frame a lie in her mind but she could not think clearly.
Neutral,A minute later he went out like a light.
Submission,"That said, Olazabal offered little encouragement that he is finally ready to drop the tag of' the great pretender' and capture the major championship that his enormous talents deserve."
Neutral,I sleep like a log and never get indigestion.
Neutral,"Ah, well, sleep on it."
Love,"Others get up, without disturbing their sweetly sleeping partner, and do jobs, anything from planting out seedlings to preparing books for the auditors."
Remorse,It would have taken a match of some note to have lifted this last weekend of the Championship out of the also-ran trough.
Sadness,"Rejected at that level, he was back to square one, at a disadvantage."
Neutral,I think er there's a surprise in the bag Fred brought.
Anticipation,The Chancellor's policies are not expected to bear fruit until the spring.
Sadness,Publishers and film-makers are already beating his door down for blockbuster number two.
Neutral,A grant from the Theatre Trust should ensure plays put on in the former church now Saltburn's Community Centre no longer literally bring the house down.
Sadness,This is often far from the case and many a combination has come to grief at the very last fence.
Neutral,"Innes McInnes was obviously a soup-meat-cheese man from way back, but had come up in the world."
Awe,"Cardoun landed the Prix Djebel to remain on course for the 2,000 Guineas for which he is now a 14-1 chance."
Submission,Usually the wisest thing to do is to cut your losses early on.
Sadness,"Of course Carvill's Hill started off a dead cert, yet he limped home badly beaten."
Disapproval,Devolution is a dead duck.
Disgust,"We're dead in the water, small children laugh in our faces."
Awe,"Since then it's been almost all downhill with another four defeats in his next five fights, three inside the distance."
Contempt,So they can laugh at us when we fall flat on our noses.
Disapproval,"It also proved to be a fall from grace, as it transpired that he'd stolen millions of pounds from his workers"
Optimism,What we must try and do now is prove Saturday was not a flash in the pan.
Joy,"Fortunately, like the other tests, the 31-year-old convent-educated beauty passed with flying colours."
Optimism,I birdied the first three holes to give myself a flying start and never really looked back.
Neutral,"The other decision she made was that, on the one-per-cent chance that it wasn't a fool 's errand she was on, since it was uphill for most of the way and she didn't want to arrive hot and sticky, she would take a taxi up, and walk down"
Disapproval,They had a low-key attitude to the region and had just wanted to get a foot in the door.
Contempt,But for self -consciousness to get a foothold it would be necessary to establish that they were aware of recognising themselves.
Ambiguous,"While no decision has been made as yet, ICL appears to be the front runner, although more than one supplier might be chosen."
Optimism,But if it was a case of' I'm going to get you' your dignity wouldn't allow you to let them get the better of you.
Anger,We haven't worked all these months to have it go up in smoke now.
Joy,"Yup, I've got it made."
Contempt,The country's on its knees and snotty kids in bin-liners are abroad in the cities.
Neutral,"A Quebecker of Irish descent, Mr Mulroney swept to power in 1984 in a landslide victory."
Optimism,"Son Pardo has come on in leaps and bounds since finishing fifth on his debut at Newmarket on 2,000 Guineas day."
Submission,"In that case, the electorate might well prefer to be Red and live to fight another day rather than be consigned to a nuclear crematorium."
Neutral,"He had come a long way with the Elder, as had his family from time immemorial."
Neutral,He came in when the lads were at a low ebb somewhere on the ocean bed.
Optimism,Cos you know we're hoping to make a comeback next year.
Neutral,"Having answered his own question of whether he would make the cut, he proved himself capable of denying the one that he was a one-major wonder."
Sadness,But father had no faith in my ability to make a go of anything.
Optimism,"But with ruler Mercury in direct motion from the 1st, you can make headway."
Optimism,Rodrigo and Motamid rapidly began to make inroads into the border territory separating the Caliphates of Saragossa and Lerida.
Anticipation,They believe MPs could make a killing as they will know the likely outcome before the vote.
Anticipation,Keepers face make or break decisions
Remorse,In that moment of truth she wanted to be struck by lightning and reduced to smouldering ashes.
Sadness,"In other words, it is a form of Murphy 's law, things always tend to go wrong."
Disgust,They were left with the feeling of not getting anywhere.
Optimism,"With Diana out of the picture, Charles is emerging as a fitting father figure."
Optimism,The fact we are not ahead of the pack at the moment is a help because everyone is not talking about us winning it.
Love,But I love those little box things with the lacy paper that they pack it in.
Surprise,"I wasn't sure that our clothing would pass muster at the doors, but others in the crowd were even more outlandish and uncivilised."
Love,He had worked with Elizabeth in the 1951 picture A Place in the Sun and they had remained close friends.
Sadness,"This was indeed a Pyrrhic victory, because West Indies cricket was assuredly the loser."
Optimism,"James wrote a book, Rags to Riches, giving advice on how to succeed in business."
Fear,The present rendezvous had been riding high on my chart of dreads.
Joy,The fact that Scotland tried to rise to the occasion was worth more than just two precious points.
Neutral,HP has matched IBM Corp prices but can run rings around old Blue on performance.
Surprise,Marie Brown thought she was one of the fortunate ones to sail through unaffected.
Joy,Captain Tony Wright came in to save the day.
Trust,He'll have to sink or swim.
Optimism,"Now that Europe's really opened up, the sky 's the limit."
Disapproval,Movies that are a smash hit at the box-office still end up losing millions.
Optimism,"They do not want to give up, to throw in the towel, to admit defeat."
Anticipation,"And the search is on to find the top dog among an entry of eight hundred collies, German shepherds and even poodles."
Optimism,But since then Oxford have been on the up and up.
Disapproval,"If she calmed down, she might just weather the storm."
Optimism,"The key behaviours that, even in the most difficult circumstance, make a win-win outcome."
Optimism,"As a starting point for a full-function open operating system, VM could scarcely be bettered, but IBM in its wisdom poured money into MVS and allowed VM to wither on the vine."
Neutral,A huge wooden spoon protruded from the cauldron.
Joy,This order came like a bolt from the blue and I'm very grateful for it.
Surprise,It was completely out of the blue.
Surprise,His jaw dropped.
Fear,The unexpected sound of the deep voice suddenly coming from somewhere beside her made Laura almost jump out of her skin.
Surprise,"She pulled it up again and lo and behold, there was water in the bucket."
Disgust,Everywhere in Greece the hoped-for growth of income from tourism depends in part on removing the smells that haunt too many beaches and other places where north Europeans twitch noses and raise eyebrows.
Surprise,Ashi found herself rooted to the spot in disbelief as she watched the threshing legs of her daughter.
Surprise,Talk about seeing is believing.
Aggression,"When the attacking leg is at full extension, the shoulders, the muscles in the right leg and the entire right side of the lower back and buttocks are completely tensed, and an incoming opponent, met by this sudden kick, shooting upwards from the ground, is immediately stopped dead in his tracks."
Surprise, Simon had the satisfaction of seeing the chief inspector momentarily struck dumb.
Love,Words fail me - almost.
Aggression,"1979 Elvis Costello and Bonnie Bramlett come to blows after a racialist argument at the Holiday Inn in Columbus, Ohio."
Aggression,If they want to get promoted they have got to fight tooth and nail.
Joy,Mr West predicts that January 1 will mean a free for all.
Aggression,"With only 309 of 24,000 schools having chosen to become grant-maintained in three years, one minister recently warned that the gloves are off in the fight against town halls."
Anticipation,"But if we wait long enough, perhaps thousands of years, Tit for Tat will eventually muster the numbers required to tip it over the knife-edge, and the population will flip."
Neutral,Imagine having a brass band meet a colonel in the middle of the bogs with the whole countryside up in arms.
Optimism,"DeFreitas and Lewis were struggling with muscle stiffness, Smith and Stewart were in the wars from close fielding, and Reeve, picked ahead of the extra batsman Ramprakash for just such a position, was off the field all day with food poisoning."
Ambiguous,It is a moot point as to how far the apparent relaxation of attitudes towards unmarried mothers during World War I resulted in any real shifts in policy during the inter-war years.
Neutral,"No, Jack, absolutely nothing doing. "
Neutral,"However, public perception of risk is often at odds with the objective measures used by engineers."
Neutral,They gave every athlete an olive branch as a symbol of peace.
Sadness,"A big peak was out of the question; it was a little too late, a little too wet and miserable."
Anger,He claims that the ex-Celt tried to pick a fight with him in the toilets at a function after Manchester United's unsuccessful FA Cup Final against Southampton in 1976.
Neutral,"To date, it's been reasonably simple to pick holes in there."
Neutral,Failure to agree on the basic principles of caring for refugee children started a running battle between liberal and orthodox exponents of Judaism which lasted throughout the war and beyond.
Contempt,"If I sit on the fence or back Howard Kendall, I will still get slagged off because people will say I'm patronising the Blues."
Optimism,All water under the bridge until next year.
Disapproval,You just got caught in the crossfire.
Fear,You need to clear the air and get deep seated anxieties and worries off your chest Saturday.
Neutral,Feeling was dead set against the idea of a new road cutting a swathe through the countryside.
Anticipation,Somehow you have to play devil 's advocate against your presentation and try to knock it to pieces.
Remorse,"I always go hammer and tongs at my running and then wonder why I end up with chest pains sore throats, dead legs, etc."
Optimism,Let bygones be bygones and forget old grudges against Inkatha.
Joy,Staff tiptoe past your room at night so as to let sleeping dogs lie.
Aggression,We were at loggerheads.
Contempt,Eleanor and Henry had separated unofficially and there was no love lost between them.
Ambiguous,The use of prose for mockery in Much Ado about Nothing is so widespread as to make illustration superfluous.
Fear,"A little scared, very curious, ravenously hungry and ready to argue the toss with anyone after being passed from person to person like so many yards of parcelled muslin."
Anger,Then all hell broke loose.
Neutral,Refusing to use the lavatory in a battle of wills with the parent and a fight for power and control.
Submission,"Understandably, this has been a bone of contention with many of the staff of the polytechnics ever since, who maintain that for teaching at degree level to be lively and effective it needs to be supported within the institution by an active research programme."
Optimism,"It has more than fulfilled its founding fathers' two objectives: to rebuild the economy of a shattered Europe, and to bury the hatchet between France and Germany and so bind together the nations of Europe that they would never go to war again."
Fear,His stomach was churning but he knew he could elude her if only he could remain calm and call her bluff.
Anger,"I wouldn't ask your father, but your mother would, I'm sure, be up in arms."
Anger,"For the love of Mike, Candy, will you please get off my back about Adam Burns?"
Anger,Alain was in a black mood and Marguerite was trying hard to pretend she wanted to go back to Paris.
Anger,And really cheesed off about being left out of the action for so long.
Neutral,"Yes you do watch their fees, but they haven't watched yours for crying out loud it's quite obviously."
Disapproval,Cut it out.
Disapproval,"Give it a rest, lads, for pity's sake."
Neutral,"The black-market dollar, Brazil's most nervous index, did not go through the roof."
Disapproval,And good riddance.
Disapproval,"I note this, and harp on her imperfections, as a defence mechanism."
Anticipation,Black And Blue is BBC1's controversial 90-minute drama guaranteed to get the law and order brigade hot under the collar.
Contempt,Mind your own business.
Neutral,He was plainly frightened of her because of her quick temper and also because he had for a number of reasons formed a most favourable view of her judgement.
Ambiguous,It has never been the Queen's style to rant and rave when things have gone wrong.
Anger,We will all go and scream blue murder at the goats and make them thoroughly ashamed and sorry for themselves.
Anger,Nicaraguans see red over economic ruin Grinding poverty.
Anger,"I can tell you, he's got a very short fuse."
Anger,All steamed up over the real thing.
Disapproval,"Warning MacQuillan against his folly was one thing, killing him to save him from it was going too far."
Anger,Mr Brown said the planned charges were the last straw for customers already angry over banks' high-handed attitude.
Anticipation,Neither Bradford nor Birmingham regrets entering the tourist trade - the industry waits with bated breath to see how Swindon fares.
Fear,Rosie was very insecure and a bundle of nerves.
Sadness,"Mr Cubbage was like a cat on hot bricks, he was most distraught at Coleen's decision to go to England, and he bombarded her with letters and flowers."
Disapproval,So I wouldn't hold your breath for them to move.
Anticipation,It calls for consummate timing and nerves of steel.
Anticipation,She would be suffering from pins and needles.
Fear,We were all gay but scared stiff to do anything about it.
Fear,I'm really on tenterhooks about the twins.
Fear,It was after the tour that Take That-mania reached fever pitch and the band were forced to employer a minder to make sure they don't get into any sticky situations.
Ambiguous,"Hold your horses, was Hilary a boarder?"
Anticipation,But the Tigersharks are wide awake and raring to go.
Disapproval,Salvadoreans can only be described as critical and it is women who must bear the brunt of caring for the ill.
Contempt,"Honestly, you would soon be bored to tears with it."
Disapproval,"You, my san, have got a chip on your shoulder."
Disapproval,It would have been rather too close to home.
Sadness,"Just another wench, he told himself angrily, but deep down he knew different."
Anger,"He will thrash in the bed, like a fish out of water, not censoring the words and pictures in his head."
Surprise,How about that for a Freudian slip?
Disapproval,"It was ridiculous, letting herself get worked up into this state."
Sadness,I don't usually go to pieces like this.
Ambiguous,Did I accuse you of being as hard as nails?
Disapproval,"You'd hurt me so badly, there I was, head over heels in love with you, and you were asking me to be your mistress."
Anticipation,"The following day, however, Mrs Thatcher had a change of heart, and asked him to flesh out his figures."
Fear,"In effect, the message being sent to John and the other hostages was that they had to keep a stiff upper lip and hope that, one day, the kidnappers might let them go."
Optimism,"He squirmed uncomfortably on the damp stone, and tried to look on the bright side."
Anticipation,"Most people in Three Oaks Bay were awaiting Dizzy Liston's return with mixed feelings; mainly apprehension, mixed with trepidation."
Neutral,And she bore Arnie no hard feelings.
Neutral,He's only back from the war two minutes and he's put the Medical Officer of Health's nose out of joint.
Joy,And of course we're pleased as Punch to put him in print again.
Neutral,"Bosnia would survive as a constitutional fiction, allowing the world to save face."
Love,He said:' I still have a soft spot for Arsenal.
Joy,Their very names speak volumes for the unity which the Spirit creates.
Anger,"It's just that he wants to let off steam, and you're the only person he can lose his temper with."
Joy,"These were wise words from a wise old bird, but Matilda was too steamed up to see it that way."
Neutral,"The' fat oyster in the American story' probably refers to the story of a man struggling with a very large oyster in a stew, to whom the waiter says."
Submission,"In developing an image, you and your workers, professional or voluntary, have to swallow your pride, smile at yourselves and put yourselves in second place to getting the message across not easy, not often said, but true."
Love,Ned appeared to be whispering sweet nothings in her ear but his attentions were being met with a stony silence.
Disapproval,"Men, standing nobly upright on two feet as they take their bladder relief, tend to look all around them, focusing on a glorious horizon and fantasising about being master of all they survey. We, however, are required to crouch in the heather, and so the attention is drawn through necessity to the things sharing that heather with you, in case any of them might take a fancy to your bottom and jump into your pants."
Anticipation,"Drama Zoff detailed the drama behind the scenes as Gazza was kept on tenterhooks for the past four days, wondering whether he would make his Italian debut."
Disapproval,"If you think the world of modelling is all glamour and nothing like hard work, think again."
Neutral,Mrs Thatcher's public speeches contained thinly veiled warning messages to colleagues who doubted the strategy.
Love,"Instead, here she was, going weak at the knees like an adolescent schoolgirl."
Neutral,There is also a dancing monkey with bells on its ankles.
Joy,"Yo dudes, it's time to chill out with DJ Phil Disco King."
Joy,"The equivalent, I suppose, of someone who loves chocolate falling into a big vat of the stuff and unhurriedly eating their way out. I was in my element, immersing myself in all the terms falconers use and studying Brian's vast collection of equipment, some of it quite old and valuable, but in immaculate condition, like his birds."
Anticipation,"The morning session at the law courts was in full swing, and the halls and corridors were crowded."
Neutral,"This will be followed by the display programme and then we are planning a sponsored event which can be as a family team, with Mum, children and husband/grannie/auntie or a group of friends, each team of four plus one must have a ball."
Joy,She was having a very enjoyable time and was clearly the life and soul of the party.
Neutral,"When the party is over members of the bridal party, and guests, may want to go."
Surprise,'I was only pulling your leg' his face collapsed with relief.
Contempt,Now pull the other one.
Neutral,"If you make a joke, pause before the punch line and let the audience know that humour is about to enliven the proceedings by enjoying it yourself beforehand."
Disapproval,The doctors had told her to take it easy.
Joy,"In 1987, when I was chosen to fight my first election at Birmingham's Perry Barr, I was on cloud nine, even though it was a safe Labour seat."
Sadness,"At first, we thought everyone else was booming while we were down in the dumps, but from talking to other businessmen you realise that everyone is suffering the same."
Neutral,Pensioner Ivy Groves was down in the mouth yesterday - because Government red tape will leave her without false teeth for weeks.
Joy,Suddenly Lisa was grinning from ear to ear.
Joy,"' Smile,' he said, his voice indicating that he was certainly grinning like a Cheshire cat."
Disapproval,My heart sinks and culinary amnesia sets in somewhere between the tinned fruit and dried pasta.
Anger,"What she wanted was to slap Nicolo Sabatini's face, to stalk out of the Sala dell'Arte and never look back."
Optimism,"I am not saying we are over the moon, but it is progress."
Joy,The sight of a twig she had picked bursting into bud in a vase was enough to send her in raptures.
Joy,Birthday boy Fred Proctor was in seventh heaven after notching up yet another election success.
Joy,"People have been diagnosed with cancer etcetera, erm, in fact at the convention yesterday, they had some clients on the stage, one lady had been diagnosed with breast cancer, she got a pay-out from living assurance, five years later she's been cleared, and, and she's thrilled to bits about it."
Optimism,"If you can spend five weeks having the time of your life and get paid at the end of it, why not?"
Disapproval,"I'm not at my best in red, so you could say I was not on top of the world."
Joy,It was a wonderful feeling as if I was walking on air.
Neutral,I bet she'd go bananas.
Neutral,"Restored in 1960 for the Temora Aero Club she eventually fell into disuse and was sold to Ray Windred of Dungong, New South Wales, as a basket case."
Neutral,"Finite in number, the limited material world they make up is not all there is, for, besides an infinite God, we have immaterial souls."
Anticipation,We would soon be in input overload and go nuts.
Contempt,I'd hesitate to give much weight to her story in the normal run because she does seem to have a screw loose.
Disapproval,"All of this doesn't mean he wasn't stark raving mad, and just putting on."
Neutral,"By crossing the Irish line six times at Twickenham, England in one fell swoop exceeded the total number of ties scored last year when winning the Grand Slam and it's time for this columnist to eat humble pie, after criticising England, along with the other Home Unions, for inferior standards of back play to Southern Hemisphere sides."
Remorse,Perhaps not letting you know the party was off was a Freudian slip.
Optimism,"In developing an image, you and your workers, professional or voluntary, have to swallow your pride, smile at yourselves and put yourselves in second place to getting the message across."
Neutral,Education is very much based on trial and error though schools which specialise in the education of the autistic child have developed common aims.
Contempt,"Of those applicants who were oblivious of Bond, most were, like the geriatric security officers and weedy office workers, sadly wide of the mark."
Neutral,That was the done thing.
Awe,"A lulling orchestral accompaniment, some smokey crooning and an ingratiating melody gatecrash your approval on first hearings and then slowly reveal the tumult of fury that seethes beneath the surface."
Fear,"If you overstep the mark, you may find yourself involved in a costly legal fight."
Fear,"General de Rivieres, the creator of Verdun fortress had warned that its Achilles Heel lay on the Left Bank."
Fear,There were alarm bells ringing in Edward's skull.
Sadness,Asking for trouble to put steps like that where there are old people.
Submission,He got his back to the wall as they swept over him.
Anticipation,Every time it goes on the blink I wonder who'll win.
Disapproval,This is a can of worms and really needs to be looked into carefully.
Disapproval,This should be a lesson that drivers who carry burglars will carry the can.
Ambiguous,The saga of Rio Tinto and Wheal Concord illustrates the' Catch 22' of Cornish tin mining.
Submission,"Within seconds she was shivering, her lightweight clothing no protection against the bitingly chill wind, her hands and feet quickly becoming numb in the icy cold."
Optimism,Yet there was one cloud on the horizon.
Neutral,Recently matters had come to a head
Contempt,"It hardly needs to be said that Tories are capitalists, and therefore to a woman subscribe to the view that the dominance of heterosexuality, notably the White Heterosexual Family, is to be preserved come hell or high water."
Neutral,He says it's a cross to bear.
Neutral,"Here, drought is the crux of the matter and whether it is caused by or causes land degradation."
Neutral,Was Adams right in trying to get to the bottom of it?
Disapproval,"When the going gets tough, the tough allegedly go shopping, and into debt."
Surprise,"We were caught, high and dry."
Optimism,"But if members tell us they are in dire straits, without a job, gone bankrupt, and the wife's run off with the milkman, then we will move heaven and earth to help them."
Love,I'm not going to leave you in the lurch
Submission,"As long as euthanasia is very much a last resort when everything has been tried and has failed, I can see no difficulty."
Disapproval,"I would not, for then I should be hanged, for that would be murder."
Disapproval,Those who applaud the Hammer as a necessary evil today will be urging some form of youth internment as a necessary evil tomorrow.
Neutral,Get out of sync as quickly as possible and forget the coins completely.
Disapproval,David Walsh argues that Ireland can no longer rely on fire and fury to paper over the cracks in a country where there are fifteen gaelic footballers for every rugby player.
Disapproval,They can't pass the buck.
Disapproval,Radford himself early in March dropped his ideas for a quick fix.
Submission,"Susan, a part-time school cook, then had to put on a brave face for a holiday in Spain."
Anticipation,"But scratch the surface, and an astonishing mystery is revealed."
Disapproval,Radio waves spell trouble for industry.
Neutral,Everyone has their own idea on how to stop the rot.
Disapproval,But he saw Central America as a new stumbling block.
Aggression,"Sarah hesitated, then seemed to decide to take the bull by the horns."
Love,This practically ruined him but rather than take the easy way out and declare himself bankrupt.
Love,I knew Little Black Sambo and Brer Rabbit and the Tar Baby by heart.
Submission,There is no doubt that there will be teething problems and that some things will be thrown back at the International Board.
Disapproval,The other thorny issue to be addressed is that of course funding.
Fear,Let's just say I got in a tight spot.
Anticipation,This is the tip of the iceberg.
Contempt,Lord Donaldson spoke of the further proposed fragmentation of the profession as' an unmitigated disaster.
Ambiguous,"Apart from certain skilled trades, the attempt to unionize was an uphill battle for most workers until the Great Depression of the 30s."
Neutral,It has thus become a vicious circle of spoken mumbo jumbo.
Anticipation,I hope all your plans go forward without a hitch.
Anticipation,"Al Jourgensen is running around backstage, shouting out such helpful commands through his megaphone as' Batten down the hatches', and' Splice the mainsail'; stopping every minute or two to proudly show off his new tattoo."
Ambiguous,It has two interesting components: calculated risk and cunning.
Optimism,You can not be tentative or apprehensive in your movements; you have to throw caution to the wind and' attack' a manoeuvre with the objective clearly in your mind.
Neutral,I only needed minimum pressure to get a close shave.
Neutral,"You are being seduced by your Ego's love of melodrama and, since it can feel thrilling to dice with death, you might be tempted to walk rather too close to the edge of the cliff."
Neutral,From that day there was no appeal from the consequences of even one false move.
Fear,"But even if they are carried, the second shot becomes fraught with danger."
Anticipation,"Muriel, probably because of her years and the fact they were looking for a more mature person, was by a hair 's breadth the front-runner, ahead of two younger girls both with experience of the insurance business."
Fear,In order to survive the jungle and live to tell the tale it is important not only to have good companions.
Disapproval,Thus his conduct very well illustrates the maxim look before you leap.
Neutral,"As we said, Northern Ireland is the Labour Party's only no go area anywhere in the world."
Optimism,This is a good means of keeping it out of harm 's way and it could not be better camouflaged.
Disapproval,Those who play with fire will be burnt to ashes.
Contempt,"Oh, and maybe just a tiny piece of advice: next time you, quote,' risk life and limb' I suggest you check first that the person does need rescuing."
Trust,I believed he was in safe hands.
Neutral,He cut a lot to be on the safe side.
Neutral,There is safety in numbers but less risk of embarrassment when the numbers are small.
Neutral,"But it is important to point out how much is at stake, if Labour has its way."
Fear,The audience had been told to disperse to their cars to take cover.
Anticipation,"Anyway, you'd better watch your step."
Neutral,One in seven road accidents is caused by drivers falling asleep at the wheel.
Neutral,"The roots of modern pharmacology lie in the empirical discoveries of the past century, when medical men found that single therapeutic agents could effect seemingly miraculous cures."
Surprise,"She was too tall and untidy, but her quality shone out like a light as she passed into the crowd, and the noise and the tension that are part of even the smallest race meeting."
Optimism,"Though faint with hunger and ready to drop down with fatigue and want of sleep, they seemed to forget their hardships at the approach of the enemy."
Anticipation,"With so much within easy reach, we were clearly spoilt for choice and decided to sleep on it."
Anticipation,"Both projects, and more besides, aim to make Microsoft an also-ran in tomorrow's markets."
Sadness,So I'm back to square one.
Surprise,No you've got them in the bag.
Disapproval,Some investment does not bear fruit.
Anticipation,Over eight hundred people turned out in Oxford to see the blockbuster everyone's talking about.
Disapproval,"If the Tories' supporters in 1970 had liked the sound of anti-union radicalism, a significant number had decided by 1974 that it threatened to bring the house down around their ears."
Remorse,But if this were so then most other accounts of authority would come to grief.
Anticipation,"Alistar Campbell roared past 500 runs on Saturday and put himself firmly on course for the magical 1,000 mark."
Disapproval,Isn't it time to cut your losses and simply sell the company?
Optimism,"You had to have a cert, dead cert, iron case before any prosecution case came up."
Optimism,The Decade of Evangelism would be a dead duck if the Church decided to be' structurally sexist.
Fear,"The casualty was lying beam-on to the swell, and dead in the water with no engine power, so the helicopter's attempt to lift them."
Optimism,At least it will be all downhill
Disapproval,What we haven't got to do now is fall flat on our faces.
Anticipation,"After all, England have another chance to fall from grace when they meet Germany on Saturday."
Neutral,Neither Philippe Sguin nor Philippe de Villier is in any sense a flash in the pan.
Joy,"Before the setbacks, the new Lancias had passed their tests with flying colours."
Neutral,Two birdies in his first three holes and another at the sixth gave him a flying start but it was not all so straightforward.
Submission,"Mum knew then she had met her match and tried-to retreat indoors, but Mrs Smith left her foot in the door so that she had to listen."
Joy,"Finally, under the obscurity of dust and smoke the Germans managed to get a foothold on the summit"
Fear,Members might like to note that Crich is a front runner for next summer's trip.
Fear,"If you're camping in the wilderness on your own, don't let imagination get the better of you."
Neutral,"If so, what happens when Buckingham Palace, Sandringham or Balmoral go up in smoke?"
Optimism,"As Baroness Barmy has shown, once you're on the circuit, you've got it made."
Disapproval,"By mid-1945 the country was economically, militarily and psychologically on its knees, but unconditional surrender was still resisted."
Anticipation,For months the polls have been predicting an unprecedented landslide victory for the Right in next month's general election.
Surprise,"Twelve months ago we came on leaps and bounds, and surprised even ourselves by winning the All Ireland."
Optimism,The choice for us was whether to take a strike unprepared or to live to fight another day.
Optimism,The dog's come a long way
Disapproval,"To the public at large faith in the political process, already at a low ebb, will diminish further."
Love,"Phantoms are exceptionally rare, but Vox Amplification have decided these guitars should make a comeback."
Anticipation,"A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would make the cut."
Optimism,She just knew she could make a go of it.
Disapproval,This option largely failed to make headway for many of the basic theoretical reasons that were outlined in Chapter 2.
Neutral,"The NAP, trying to make inroads into the Asian community, put out its own sheet, called Breaking the Silence"
Optimism,"If it were not, one could make a killing on the stock exchange by having a computer that would remember tomorrow's prices."
Anticipation,It was absolutely make or break.
Surprise,And so the moment of truth.
Disapproval,"Relying on a small bureau with perhaps a single film recorder is, as Murphy 's Law always points out, a somewhat foolish activity."
Optimism,"When you're not getting anywhere with someone, you can choose to switch streams."
Neutral,That blots the Unionists right out of the picture.
Anticipation,"He likes to be one step ahead of the pack, getting there before others do."
Surprise,If he played golf as badly as that he'd pack it in.
Disapproval,A less than shattering experience simply won't pass muster in this of all Shostakovich symphonies.
Anticipation,It may prove to be a Pyrrhic victory.
Optimism,From one small shop Sainsbury is the classic tale of rags to riches.
Disapproval,"The crazy old vessels, riding high in the water without cargo, awaited their owners return."
Optimism,Majestic Irish rise to the occasion
Awe,"Still, Santander is brave to sail through shoals that nearly wrecked other foreign venturers."
Optimism,Could Jeremy Paxman save the day for the interrogators?
Neutral,Latecomers sink or swim in the great flotation race.
Optimism,"When you're champions and in Europe, the sky 's the limit."
Neutral,Connors aims for smash hit.
Disapproval,I would have recommended that he should throw in the towel
Optimism,Just keep your cool and you'll yet emerge as top dog.
Optimism,Newton is on the up and up.
Optimism,It was a severe blow but Highlander drew its horns in to weather the storm and re-opened under a new charter as the Highlander Research and Education Center.
Optimism,"Here is an example of win-win behaviour overheard, coincidentally whilst writing this section, as my four-year-old son, James."
Disapproval,It is unforgivable to leave it to wither on the vine.
Disgust,"When he motioned for her to take the wooden spoon from him she did so, avoiding touching him at all costs."
Neutral,Blue condition Ibanez FGM 100 Gambale Signature Looking at the Thunder From Down Under's own personal bolt from the blue.
Surprise,Then out of the blue he got a phone call asking if he was still interested in the car as it had to be sold to make space for the family.
Surprise,Lisa's jaw dropped open.
Anger,"And lo and behold, no sooner had British Bakeries written to say' the problem should now be eliminated' than a loaf arrived at home with at least five slices suffering from holes bigger than those in the Darlington defence."
Optimism,The fact that a 23 year old black man was making films at all would have been enough to raise eyebrows a few years ago.
Optimism,"Now I've engendered a feedback loop, so that if Mait, or anyone else, tries to use it, the enhancer will focus his concentration, feed it back, and drain it off again in a continuous loop that should keep him rooted to the spot for the rest of his life or until someone else separates his gaze from the lenses."
Fear,"Then she stopped dead in her tracks, the blood seeping from her veins, leaving her stiff and white with shock."
Fear,How do you know that you haven't landed yourself with someone who'll be struck dumb with nerves?
Joy,Words fail me in praise of your company and its workforce.
Neutral,"Eventually, after a series of confrontations in which both sides seemed curiously reluctant to come to blows, Mar's and Argyll's main armies were left uneasily eyeing each other at Stirling."
Sadness,It's a sad and unusual case for all concerned but the mother is determined to fight tooth and nail.
Anticipation,"While perhaps reasonable for a very small group, it could soon become a free for all in a larger organisation."
Surprise,This amounts to a quest for possible ways in which Tit for Tat individuals might happen to cluster together in sufficient numbers that they can all benefit at the banker's expense.
